GENDER,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,PAST_ACCIDENTS,AGE,DRIVING_EXPERIENCE,OUTCOME
1,1,3,0.545417084,1,1,1,1,8000.0,0,4,6,4,4,0
0,0,0,0.361876321,0,0,1,1,9000.0,0,0,0,1,1,1
1,2,2,0.535840386,1,0,1,0,12000.0,0,0,0,1,2,0
1,1,3,0.612544766,1,1,1,0,9000.0,0,3,0,3,3,0
1,1,1,0.329006998,1,0,1,0,13000.0,0,4,1,1,3,0
1,0,1,0.477491654,1,0,0,1,10000.0,0,1,0,1,3,0
1,1,3,0.543177552,1,0,1,1,8000.0,0,1,0,2,2,0
1,1,1,0.423804205,1,0,1,1,8000.0,0,1,2,2,3,0
1,2,1,0.496029873,1,1,0,0,13000.0,0,0,1,3,3,0
0,2,3,0.754048492,1,0,1,1,9000.0,0,5,2,4,3,1
1,1,2,0.603395468,1,1,1,1,9000.0,0,1,0,2,4,0
0,2,2,0.489111776,1,1,0,0,14000.0,0,0,2,2,3,0
1,0,0,0.503587978,0,0,0,0,11000.0,0,0,0,1,1,1
1,1,2,0.351204384,1,0,1,1,12000.0,0,0,0,2,3,0
0,2,3,0.458583132,1,0,1,1,14000.0,0,4,2,4,4,0
0,2,0,0.27030173,1,0,0,0,13000.0,0,0,0,0,2,1
1,1,3,0.374098895,1,1,1,0,11000.0,0,0,1,3,3,0
1,2,1,0.351117824,0,1,1,1,8000.0,0,2,1,1,3,0
0,1,0,0.431561468,1,0,0,0,14000.0,0,0,0,1,2,1
1,1,1,0.409677774,0,0,0,0,13000.0,0,0,0,2,2,1
1,0,0,0.279634541,0,0,0,0,15000.0,0,0,0,1,0,1
0,2,2,0.613793495,1,1,1,1,14000.0,0,0,0,0,1,1
1,2,3,0.527102887,1,0,1,0,11000.0,1,2,1,3,4,0
1,2,3,0.51725784,1,0,1,1,13000.0,0,1,0,4,3,0
1,2,2,0.562390089,1,0,0,0,13000.0,0,0,1,1,3,0
1,0,0,0.411757807,0,0,0,0,18000.0,0,0,0,2,3,1
1,1,1,0.504696661,0,0,0,1,14000.0,0,0,0,1,2,1
1,2,3,0.644889557,1,1,0,1,14000.0,0,1,0,2,4,0
1,2,3,0.508606549,1,0,1,1,9000.0,0,3,3,4,4,0
0,2,2,0.330887247,1,0,1,0,11000.0,0,12,2,2,4,0
0,2,3,0.58514385,1,0,1,1,9000.0,0,1,1,3,4,0
1,0,0,0.41414153,1,0,1,1,11000.0,0,0,0,2,2,0
0,2,1,0.371964913,0,0,1,0,14000.0,0,0,0,0,1,1
1,2,3,0.443931954,0,0,1,1,9000.0,0,3,2,4,4,0
1,2,3,0.542637655,1,1,0,1,9000.0,0,1,0,2,4,0
0,0,0,0.481490018,0,0,0,0,21000.0,0,0,0,0,1,1
0,2,3,0.568042952,1,1,1,1,8000.0,0,0,0,4,2,0
1,1,2,0.673509752,0,0,1,1,12000.0,0,0,0,2,4,0
0,1,3,0.672874633,0,1,1,1,8000.0,0,3,2,2,4,0
1,2,3,0.578838476,1,1,1,1,6000.0,0,7,0,3,4,0
0,2,3,0.603144676,1,1,1,0,12000.0,0,0,0,2,2,0
1,0,3,0.760070858,1,1,1,1,9000.0,0,2,2,4,4,0
1,2,1,0.434799641,1,0,1,0,11000.0,0,2,0,1,3,0
1,2,3,0.687578338,1,1,0,1,10000.0,0,0,0,3,3,0
0,2,3,0.754969479,1,0,1,1,13000.0,0,5,0,3,4,0
1,2,3,0.611487599,1,1,0,1,9000.0,0,0,0,0,2,1
1,1,0,0.44251478,0,0,0,1,13000.0,0,0,0,1,1,0
1,1,1,0.430181857,1,0,1,1,13000.0,0,0,0,2,2,0
0,2,3,0.62066023,1,1,1,1,9000.0,0,1,2,2,3,0
0,1,2,0.600455164,1,0,1,0,12000.0,0,0,0,2,0,1
1,2,1,0.288166467,1,0,1,1,9000.0,0,3,2,2,3,0
1,2,2,0.668043683,0,0,0,1,10000.0,0,0,1,2,3,0
0,1,3,0.551412827,1,1,1,1,9000.0,0,0,0,4,2,0
0,1,3,0.679298476,1,1,1,1,7000.0,1,0,0,2,2,0
1,1,1,0.345672446,0,0,0,1,16000.0,0,0,0,1,3,1
0,1,3,0.625625721,1,1,1,1,7000.0,0,7,5,4,4,0
0,1,2,0.521804435,1,1,1,1,7000.0,0,2,1,3,4,0
0,1,1,0.437005917,1,1,1,1,7000.0,0,4,2,1,3,0
1,1,1,0.544429816,1,1,1,0,14000.0,0,0,0,2,2,0
1,2,2,0.641720248,0,0,1,1,10000.0,0,0,0,2,3,0
0,1,2,0.561740502,1,1,1,0,14000.0,0,6,2,4,4,0
1,2,3,0.528570445,1,1,1,1,13000.0,0,2,2,3,4,0
0,0,0,0.260456031,0,0,0,0,16000.0,0,0,0,1,2,1
0,1,1,0.455855724,0,0,0,0,13000.0,0,0,3,3,4,0
0,1,3,0.70807415,1,1,1,1,10000.0,0,1,4,2,4,0
0,1,2,0.619701518,0,0,1,1,13000.0,0,4,1,3,4,0
0,2,2,0.532612984,1,0,0,1,11000.0,0,1,3,2,3,0
1,2,3,0.601929654,1,1,1,1,6000.0,0,6,1,4,4,0
0,2,3,0.606306137,1,1,1,1,10000.0,0,0,0,4,2,0
1,1,3,0.6514306,1,0,1,1,11000.0,0,0,0,3,1,1
0,1,0,0.326061548,0,0,0,1,10000.0,0,0,0,1,2,1
1,0,2,0.491795039,1,1,1,1,8000.0,0,5,0,2,4,0
1,2,2,0.499989904,1,0,1,1,16000.0,0,0,1,1,3,0
1,2,3,0.627663826,1,1,1,1,10000.0,0,2,4,3,4,0
1,0,1,0.521871913,1,0,0,1,14000.0,0,0,0,1,1,1
1,0,0,0.360307698,0,0,0,1,16000.0,0,0,0,1,2,1
1,1,1,0.670584025,1,0,1,0,12000.0,0,0,0,0,0,1
1,1,0,0.617332927,1,0,0,1,13000.0,0,0,0,2,3,0
1,0,2,0.399198419,0,0,1,0,13000.0,0,0,0,3,2,1
0,2,3,0.674187367,1,0,1,1,7000.0,0,1,1,2,3,0
1,2,2,0.448756457,1,0,0,0,10000.0,0,1,1,2,2,0
1,1,3,0.664886753,1,1,0,1,13000.0,0,3,0,4,4,0
0,1,0,0.115402476,0,0,0,0,16000.0,0,2,0,2,4,1
0,1,3,0.692491318,1,1,0,1,13000.0,0,4,6,3,4,0
1,1,3,0.629338094,1,0,1,0,11000.0,0,2,2,4,4,0
0,2,3,0.40990158,1,0,1,1,10000.0,0,6,0,3,4,0
1,0,0,0.398223638,1,0,0,1,9000.0,0,1,6,2,3,0
0,2,3,0.715403423,1,1,1,1,10000.0,0,0,0,0,2,0
0,2,3,0.497331736,0,0,1,1,11000.0,0,3,10,4,4,0
1,1,1,0.507647245,1,1,0,1,14000.0,0,3,0,2,3,0
0,2,3,0.686122633,1,1,1,1,10000.0,0,6,7,3,4,0
1,1,2,0.437313012,1,1,1,0,12000.0,0,1,6,4,4,0
1,1,1,0.508515717,0,1,0,1,9000.0,0,0,1,2,3,0
0,2,3,0.542913936,1,0,1,1,7000.0,0,11,2,3,4,0
0,1,2,0.523714782,1,0,1,0,15000.0,0,0,0,0,1,1
1,1,3,0.495295889,1,0,0,0,13000.0,0,3,0,3,4,0
1,1,3,0.62780369,0,0,1,1,9000.0,0,1,0,3,4,0
0,0,3,0.678294075,1,1,1,1,8000.0,1,1,0,3,2,0
0,0,1,0.439565827,1,0,0,0,15000.0,0,2,5,2,4,0
0,2,2,0.340346171,1,1,0,0,12000.0,0,0,0,0,2,0
0,1,0,0.30069153,0,0,0,0,12000.0,0,0,0,0,2,1
1,1,0,0.433948417,0,0,1,1,12000.0,0,0,0,0,2,1
0,2,3,0.562346446,1,1,1,1,8000.0,0,1,3,2,3,0
0,1,3,0.565003111,1,1,1,0,10000.0,0,6,1,2,3,0
